11110000010110110001110001011100 01110001000110010001001101100000 00110011100000
00110100001101111110001010000010 00110011000010110001100100001111 01011010010000
10101110010101001011011110001010 01001110101110101111110000101010 01011010110000
11001111111111000110111011110100 00000101100011100111101010001111 01101010010000
11011001110010010101001100010101 00010111100011011000001010110100 01110011000000
01111001000001111101110100000001 00101100110111000111111010001101 10000011010000
11001110000111110000010010111111 10010110010101101010011101111010 01010101110000
11010110000011111101001100011100 11000011001111011110111011010000 01000100000000
00110101001001011110000010001101 00010001000011000100010011101110 01001110100000
11111010001101000110011111100001 00110110111101000010110011110100 01110100100000
11111010110001011001011000001011 01010101100111010111011011100111 01110010010000
11011000110001011001101110101011 01101100110101000001011001110111 01001101000000
10001110011101011111001010011000 00010110101010100110001101100111 01011011010000
01110000011000101000011000100110 01100100111101001011111110011101 01010011100000
11001101110110011011001000000000 00001010001010011111111100111110 01111111100000
11110001100110011111011110001101 01110001010101110111000011110101 01101100010000
01101001110010111101010101110011 01010111011111100010000101010010 01001101000000
10100111001000010001110100110011 10001101100110000010111101111001 00111010010000
11111101111010100100010100101111 00100101110011011101111001010100 01101100110000
10111100011000010111110101010011 00011001000110010011101110001110 01011010000000
11010100001001111111010011011111 10111010110111010001000111011011 01101101110000
10101001110010000001101010100110 01111111001001001111110000111010 10000111000000
11110100111100111111111100111110 10011000111100101000000011001011 01011010010000
10101111010110111010111011111111 10100100000000011100101001101010 01000101100000
00101011010011010101000011101010 00100101000010011110110010011101 01001100110000
11011110001111000001001101010101 00101001111100110001110111111101 10000111100000
01011001000000010011011011111001 00001100111010101011101101001000 10011011000000
10001111111001011110010011110000 01001111101110010100110101010101 01100111100000
11110011111001000011110001101100 00101110010001111011011000110001 10000101110000
10011100011000011100010001111110 01111010110000110101010000110001 01010000010000
11011010111010001011101110111111 10011110010010101101010110001111 01001001000000
01111101100000010110000001000110 01010111010011010111110000000011 00101110010000
